Station Name,Street Address,City,Postcode,New Georeferenced Column
Screwfix,2c Burse Road Retail Park,Wrexham,LL11 2BH,POINT (53.05296 -3.01053)
Sainsbury's Supermarket,Retail Park Plas Coch Road,Wrexham,LL11 2BA,POINT (53.05694 -3.006057)
Currys PC World,E PLAS COCH RETAIL PARK,Wrexham,LL11 2BA,POINT (53.05803 -3.00638)
Aldi,Ruthin Road,Wrexham,LL13 7TU,POINT (53.04353 -3.00849)
Morrisons,Ruthin Road,Wrexham,LL13 7TU,POINT (53.04396 -3.00829)
Tesco Extra,Crescent Road,Wrexham,LL13 8HF,POINT (53.04645 -2.98699)
M&S Eagles Meadow,33 Eagles Meadow,Wrexham,LL13 8DG,POINT (53.04468 -2.98903)
Co-op,Borras Park Road,Wrexham,LL12 7TH,POINT (53.06054 -2.96949)
Co-op Petrol,High Street,Wrexham,LL11 3UF,POINT (53.05501 -3.07368)
Co-op Wrexham,Marford Hill,Wrexham,LL12 8SL,POINT (53.09106 -2.95970)
Co-op Market,Market Street,Wrexham,LL14 1AF,POINT (53.01013 -3.05784)
Co-op Rossett,Chester road,Wrexham,LL12 0HW,POINT (53.10861 -2.94622)
Tesco Superstore,Plas Kynaston Lane,Wrexham,LL14 3AT,POINT (52.97158 -3.07387)
Wrecsam Wrecycled Ltd,Bersham Enterprise Centre,Wrexham,LL14 4EG,POINT (53.02739 -3.02008)
Billington Recycling Services,Billington,Wrexham,LL12 0AS,POINT (53.12361 -2.96153)
Skipless Waste Solutions,9 Greenways,Wrexham,LL13 8JL,POINT (53.03341 -2.96822)
Wrexham Recycling Centre,4 Bryn Ln,Wrexham,LL13 8JL,POINT (53.05213 -2.91281)
FCC Environment,Penybont Hoise,Wrexham,LL13 8JL,POINT (52.95802 -3.07095)
